Post,Name,Datetime,Story,year
post-7133187,June132017,"Jul 8, 2021 at 1:44 AM","I guess these renters didn't pay rent for a while. So the guy there was pretty nice and asked me if he could put all this junk and an air conditioner in the trunk. ""Sure, why not?"" 

So he loaded up the trunk with trash bags full on items. Luckily he closes the trunk nicely after a few attempts. So then a kid and the 2 adults get in the car. 25 miles away to Day's Inn we go. 10 mins for them to unload there. Metal silverware starts piercing the bags and falling to the cement. In my mind: ""yep, this verifies the eviction ride theory."" 

At least they realized I cut them a break because at first I was saying I didn't want alot of stuff in my car. They seemed very grateful which was nice.",2021
post-7125903,FLKeys,"Jun 30, 2021 at 1:00 PM","Got an invitation to accompany a lady to her room. In this case it was a bungalow. I politely declined and moved about my evening. She was attractive, and a little tipsy. Wouldn't say drunk, but definitely feeling the buzz.

Just got a voice mail from her, thanks for giving my number out Uber. She left her sandals under my passenger side front seat, could I kindly bring them to Bungalow 8 tonight between 8 and 9 PM. Call her if I have any questions. the number she left matches the number she called from, so not an Uber line. Ran out to my car and sure enough there are a pair of sandals wedged under the seat.

When I leave at work tonight and drive by the resort I will be leaving the sandals with the front desk and the instructions to deliver them between 8 & 9 PM. Let them deal with it.

This is my 3rd offer in just over 3 years. Hope it is my last.",2021
post-7131597,Cvillegordo,"Jul 6, 2021 at 11:40 AM","I've been driving in the Charlottesville Virginia area since the fall of 2019. I have taken rides to Richmond Harrisonburg and Stanton and picked up rides in those areas on the way back. I've also gone as far North as Culpeper but did not get any pings on the way back from there. My understanding has always been that if I were to take a longer trip for example to Dulles airport, that I could set my destination to return and possibly get trips along the way. I have never done this because it doesn't seem to make sense financially, Is too much time and too many dead miles. I've always assumed that I'm not authorized to drive in that area, other than in a return situation. Yesterday I had a conversation with support about my annual inspection. I uploaded the new certificate and they did not automatically lift the hold; I had to call them. After the rep helps me out she did confirm that my area includes anywhere in Virginia. She also said that if I can go online that means I can get trips. My wife and I are in NoVA, DC and Maryland 2 to 4 days a week for her work. I always play with the app to look at surges and so forth, and I have always been able to go online in those areas; I haven't tried to actually take trips or pings simply because I've never been in my car, I'm always in my wife's company car but theoretically I COULD take my car, I spend 4-8 hours amusing myself while she works, the idea is tempting, except for the problem of putting huge miles on my car just for a few bucks.. Support has told me quite a number of incorrect things in the past so is this person correct or is this person confused? Is it true that if you can go online, you will get pings? When my inspection was expired for the last several days, I could still go online - I just wasn't getting any pings. So that tends to refute the information that support told me already. Thoughts?",2021
post-7134017,June132017,"Jul 8, 2021 at 10:36 PM",Once on Monday and once on Wednesday. I got $3 out of the Wed. cancel while in route. Thoughts?,2021
post-7131667,FLKeys,"Jul 6, 2021 at 1:49 PM","Well not really Urine, however the PAX should not have lied.

I get to a pick-up and there is a guy and girl in bathing suites. She is wrapped in a beach towel, he does not have one. Doors are locked, I roll down window and ask are you wet, you can't get in if you are wet. If you are still wet I have extra towels in the back. Guy replies no they are not wet. I repeat I have extra towels in the back you can sit on. He says no we are not wet. 

I open the doors and they get in. Take them several miles to a resort. Talk about how people want to get in while wet and I can't drive anymore until my seats dry. She gets out and her towel falls off, okay string bikini the size of yarn explains why she was wrapped up in a towel. I pull away and decided I better check the seat behind me. Idiot lied, I could clearly see where his bathing suit was wet and left my seat wet.

I turn the app off, take pictures and send in a urine complaint to Uber, after all he said he was not wet so he must have pissed his pants.

Took about two hours for Uber to respond along with $10 for cleaning fee and 5 extra Uber Pro points would be added to my total. Replied back that I had to have my seat cleaned as he pissed in it and they replied back that rider claimed his bathing suite must have been wet from swimming. I replied back with the conversation I had with the rider and also uploaded the video and sent them a link. Explained the video clearly shows he said he was not wet. After some back and forth for two days now Uber finally sent me another $70 for a total of $80.

And what is up with the 5 extra Uber Pro points? Told them I had no use for the Uber Pro Points. The never responded to that.",2021
post-7132940,EM1,"Jul 7, 2021 at 9:05 PM","They survived; the driver in National City did not.

worth risking your life?

",2021
post-7131227,June132017,"Jul 6, 2021 at 1:03 AM","So there was this beautiful oak looking antique wooden chair in the middle of the on-ramp. I just made sure it was clear and avoided the chair. When I passed it looked like one of the legs broke. I guess it fell out of a pickup truck. The chair landed on a on-ramp to a 65 MPH highway.

So later on I was on the same ramp. I didn't even realize it until I saw the chair obliterated into hundreds of pieces. Another truck probably had a bad day and smoked that chair. They probably messed up the radiator.",2021
post-7111027,ANT 7,"Jun 15, 2021 at 3:55 PM","Ar 4:55 I get the text......""be right out"".........

At 5:01 I'm driving down the road outta there, and I see this dude running down the street waving at me in my rear view mirror.

He looked like Dara......closely cropped faux 5 o'clock shadow......starting to go bald, just missing the fake teeth.

No, I didn't stop.",2021
post-7127067,June132017,"Jul 1, 2021 at 11:34 AM","So I picked up this one guy let's name him ""Chad."" I picked him up with him and what I figure is his girlfriend about half a dozen times. The girlfriend is very pretty in my opinion. So last night I was shocked to get a request from ""Chad"" at the hotel. So who is waiting there? Some girl who isn't Chad's girlfriend and Chad and girlfriend aren't there. She has all these tattoo's and was dressed up to the 9's. Intresting. Maybe they we're all just partying together, I don't know. I think I know what's going on here though. Luckily the ride went smooth for me.",2021
post-7124534,JeanOcelot0,"Jun 29, 2021 at 1:50 AM","These medallion owners and their banks have been taking it on the chin.

",2021
post-7130140,Stevie The magic Unicorn,"Jul 4, 2021 at 9:28 PM","So I picked this lady up from a mini mall Pizza Hut.

she wanted to just pay for 2 hours of time at $35 an hour.

“uhh”

sure ok. So with the $17 already on the meter plus 2 hours that will be $87?

“yeah 2 hours”


Ok swipe your card now..



and aside from a trip to 711 nothing.

just sitting here in a parking lot.

like derping here in a parking lot on the four to of July… dispatch is screaming for cabs and I got $87 for like 2 hours 15 minutes of nothing.

Really…

Strange…

1 hour 22 to go.",2021
post-7130917,ANT 7,"Jul 5, 2021 at 7:24 PM","This pic is not photoshop. I took it this afternoon. Vehicle is not an Uber as it is missing certain regulatory decals, trade dress is the US term.

Kewl.

",2021
post-7122225,_Tron_,"Jun 26, 2021 at 4:19 PM","For anyone doing Eats profitably I say more power to you.

But I can't fathom why anyone would use this service. As a user of the Uber rider app, I have been getting deluged with emailed coupons to try Eats ""for free"". But free doesn't include the many many ancillary charges like service fees. First I tried to use a $30 coupon and got this:







Then I tried a $25 coupon and ordered $19 worth of food. With all the extra chargers the meal was going to be $15 out of pocket. None the less I ordered with a 15% tip up front. Was given a nearly 2-hour delivery window. Two hours later the order was cancelled on a ""your order could not be delivered"" error.

Tried the $25 coupon again for $26 of food. The free meal was going to cost nearly $10. Coupon or no coupon the misc chargers are hilarious:





""Delivery fee""? Service fee""?? ""CA Driver benefits fee""??? And on top of that a tip charge that defaults to 15%.

No thank you.",2021
post-7130089,The Jax,"Jul 4, 2021 at 8:36 PM","I was doing food delivery that day and stopped at Wawa to grab some things to eat and drink in between orders.

I am in line and there is this middle ages black guy in front of me. In front of him was this overweight guy. As the overweight customer is getting rung up, he all of a sudden went on some kind of fart storm. Like if you ate a lot of chili with beans in it and you just have a lot of gas with no expectation of using the bathroom. Just pressure and air.

So it basically went like this.....
<loud fart sound then stops>
""Oh god sorry i'm really sorry""
<more fart sounds after that then stop>
""Oh geez I am really sorry like oh my <fart sound> god""
<more farting>

The black guy in front of me turns around with such a disgusted look on his face like he was in the car driving past the sewage treatment plant on a hot day with the windows down.

Then he speaks LOUDLY while also using his hands in an explaining way....
<black guy voice with actual tactful pausing>
""You know... it smells like... someone is taking a poop... right here...
<points down with two fingers>
Like... I am standing in the bathroom stall... right next to the guy... who has food poisoning... and taking a massive diarrhea dump""

I busted out laughing so hard I had to grab the chip rack to keep me from falling. The entire store was laughing hysterically. The farting guy left real fast all embarrassed. It did stink in that general area from the farts. When the black guy gets up to the counter to pay, a woman behind me walks past me and offers to pay and thanks him for making her laugh so hard it made her day.

I guess I mean it was sad for the farting guy but the entire situation itself was funny. I wish that black guy was on TV like doing stand up. What a funny guy. He played it straight right after that, just kinda looking at everyone like come on now, this guy. Haha!!",2021
post-7127070,_Tron_,"Jul 1, 2021 at 11:38 AM","Uber badly wants me to drive again. It keeps sending incentive notices to my inbox. So as it happens I have been driving. Since last in the saddle I have lost Gold status, and my ability to see the destination of a ride request is now based upon the newish accepting 5 of 10 ride requests algo.

On the surface, the 5-of-10 algo seems to me like a halfway decent compromise, giving drivers up front details if they simply maintain a 50% acceptance rate. Of course drivers who accept a smaller percentage of rides will note that the low pay makes the 5-of-10 algo a joke. But even in my locale, where Uber still pays 98 cents a mile and 17 cents a minute, the 5-of-10 algo is a clown act. As anyone who has focused on the algo knows, acceptance rate is based upon each individual ride request, rather than on passenger request.

The downside of this nuanced difference played out for me yesterday with ""Darren"". Darren wanted a ride. Badly. His request for a long ride on the Lyft platform came to me, and I declined it. For my own good reasons I was unable to accommodate a pax who wanted a ride out of town. After all, I am an Independent Contractor and it is my right to choose which rides work for me. Darren then came in on the Uber app, which I also declined, lowering my 9 of 10 acceptance rate one notch. Undaunted, for the next half hour Darren toggled back and forth between platforms, requesting his out-of-town ride.

Uber, in all its wisdom, kept sending me Darren's requests. The algo was too dumb to realize that if I turned the request down once, nothing was going to change 5 minutes later. But the requests kept coming, and I noticed my acceptance rate was dropping with each successive decline. Finally, while on another ride, Darren's request came in again. Only this time there was no destination. I didn't realize the request was from stubborn Darren, and stupidly accepted it.

I drive the 10 minutes to the pickup point, then down a 1/4 mile dirt road, which cakes the back of my freshly washed car with dust, only to realize after starting the ride that my pax was the now infamous Darren. ""Darren, I'm so sorry. I can't drive you to xxx. I know there's not a lot of Uber cars on duty right now (being that a lot of drivers are still preferring UI) but I just can't do it"". Darren, whose family is just starting up a pot farm, replies in a most mellow way that it is totally cool, and to just drop him back to his pickup location. I do and move on.

Uber. Dude. I just want a reasonable driving experience. Anything less than that and you are de-incentivizing me. Get it?






And by the way, cancelling 2 out of 96 rides is a 2.13% cancellation rate. Not the 3% you are showing on my account.

",2021
post-7129897,losiglow,"Jul 4, 2021 at 4:03 PM","You'd think he'd get free Uber rides for life. But he resorts to Lyft? What does this tell you? 

At least he ordered a Lux and tipped well. He didn't look like his normal self. Pale white, heavy set and short. But still..... 

",2021
post-7097399,FLKeys,"Jun 1, 2021 at 12:34 PM","Sunday evening I ended a trip. My next trip immediately popped up. I must have been tired, I don't remember accepting a stacked ping. Oh well it was a mile away and I headed that way. Later that evening I had another stacked trip that I did not recall taking. Did the trip. When it ended there was another stacked trip. Okay I know I'm not losing my mind and accepting trips without remembering it.

This time before I arrived to that pick-up I hit stop new requests. After that drop off I went to see what I was being paid for each trip. Basically looking for a surge. No surge to be had. Screen also did not show any surge zones. Went back online and immediately received a ping. After starting that trip I got a ping for a stacked ride. Accepted it. Dropped of PAX and headed to next pick-up. Started that trip, no ping for a stacked trip. Ended that ride and sure enough had another ping auto added. Hit last ride. Finished the final trip and said screw it, Uber to cheap to be charging and paying a surge, I went home.",2021
post-7127159,ANT 7,"Jul 1, 2021 at 1:41 PM","We've had 36-38 degrees celcius non-stop for a week now. Nornal temps for us are in the mid 20's at this time of year. It's dry here, so think ""hot"" like Palm Springs in July. I'm driving with the AC on for 10-11 hours straight.

Averaging 2-4 bus stop pick ups every day so far. Just like winter when it is -30 and people won't wait. Tips are great as my AC is ice cold.

What do you guys in the southern US do ? I cannot image driving down there.",2021
post-7127955,Guido-TheKillerPimp,"Jul 2, 2021 at 11:29 AM","Pick up Aisha.
Seems nice as we exchange pleasantries.
Aisha begins conversation on speakerphone with her friend.
Tells her about her wedding planned for new years eve... yadda yadda yadda.
Aisha thens begins discussing cost and such and how she is ONLY budgeting $100,000 for a wedding of 200 guests. WTF!!!
I almost drove into a ditch upon hearing that.
Drop off at her hotel. Thanks. Bye.
PS: Aisha did NOT budget a penny towards giving me a tip ",2021
post-7128134,FLKeys,"Jul 2, 2021 at 3:26 PM","How many drivers have picked up someone running from the police? Knowingly or unknowingly at first?

I have never knowingly picked up anyone running for the police.

Last night I picked up my third one that I unknowingly at first picked up and latter realized they were running from the police.

Each of my 3 pick-ups had different out comes.",2021
post-7126342,June132017,"Jun 30, 2021 at 7:53 PM",One thing I don't like about this gig is weirdo's ordering rides. People who wear hoodies and it's hot out is one example.,2021
post-7119622,Cvillegordo,"Jun 24, 2021 at 9:41 AM","We have been having promotions every day, $6 per ride, so our small downtown area where the promotion applies is flooded with drivers. You can sit around and wait for one of the promo rides, or, if you want to make money, you can take what comes your way and hopefully a few of the very short $10 rides will come your way as well. Yesterday I took a 20 minute pick up at our airport for a 20 minute ride. Normally and especially during these promotions I get in touch with the rider and make sure that he is coming back towards the downtown area. 90% of the time that would be the case; if they say they're going North or West towards Harrisonburg I would probably cancel. I don't want to end up 45 minutes away from the downtown area and possibly deadhead all the way back. In this case I got no answer on my text, and assuming that the guy was probably waiting for his bag or just on the phone I went ahead to the pick up anyway. Surprise! Going north to Ruckersville. S.hit!! Oh well. Took him home, $22 ride and $5 tip, OK. Set destination back to downtown and luckily got two trips along the return, one short and one all the way back downtown. Both of these tipped, feeling lucky and good at this point. Then I got the phone call. My airport passenger thinks he left his phone in my car. I look around the back and there it is under the seat on the side where he dropped it. (His girlfriend is smoking hot, and not shy by the way. Kids, this is why you should lock your phones.) So I made the honest and well intentioned mistake of telling him that I found it. This nice guy with the hot girlfriend immediately turned into an entitled jerk and demanded that I return ""my property!"" to him at his house, which is now more than 45 minutes away from my location. At this point I had already accepted another trip so I told him to call me back in half an hour. A few minutes later I got in touch with support and they confirmed to me that since I had informed the passenger and Uber that I found his property, I was now obligated to return it to him. Good Lord, what a freaking nightmare. Surge popping up on top of the promotion in the downtown area, it's heating up as people are starting to return to their hotels and homes from going out to eat, I'm going to miss making some really good money if I drive all the way out to this dude's house again. He calls me again for the 4th time. He is getting upset and is very pushy, continues to demand that I drive to his home and return his property. I push my luck and fib; tell him that I cannot possibly drive all the way to Ruckersville as ""I'm at the end of my shift."" After a near meltdown he acquiesces and agrees to meet me half way. I suggest Walmart and he finally agrees. Walmart is fortunately much farther for him than for me, so I came out OK on this. Drove to Walmart did a little shopping, met the guy in front, returned his phone and he didn't say a word; no ""thank you!"" nothing. What a jerk, and lesson learned; never again will I admit to finding a phone from a distant drop off and never again will I drop anyone off at a distance without thoroughly checking around the back seat. After over 5,000 trips I know better, this was a stupid mistake. But I got my $15 returned item fee, and after another long talk with support they also added a bonus $6 promotion to my account.",2021
post-7119585,BallinBruha,"Jun 24, 2021 at 8:22 AM","Strolled into my regular McDonalds to pick up a delivery and the manager said they accidentally made an extra McFlurry for my customer and asked if I wanted it. I don’t usually eat very much dairy or sugar but this was essentially the delivery mans dream trip... FREE food ... I couldn’t pass it up and quickly downed it en route to my next delivery.... 1/2 later I was at home on the pot where I remained for the next 3 hours. 

Be careful out there ... anyone else got any free food tales/nightmares ?",2021
post-7124223,Illini,"Jun 28, 2021 at 7:39 PM","Accounting Contractor (AC): Hello! I'm here for the Accounting project you advertised for.
Major Corporation (MC): Great! We're delighted to have you join our community.
AC: I'm excited to be here and can't wait to start and contribute to your success. What exactly will I be doing?
MC Sorry, we won't tell you until you're at your desk and ready to work.
AC: What?? How will I know if I want to do the work?
MC: Once you start on the project, you can leave if you don't like the work. No worries, though, we'll call you back when we have a new project for you.
AC: Well that sucks, but OK. How much will I be paid for this project?
MC: We won't tell you until you complete the project.
AC: Let me get this straight --- you won't tell me what you want me to do until I accept your offer and be at my desk ready to work, AND you won't tell me how much you're paying me until after I'm done with the work.
MC: Hey, you're a smart one!
AC: This is absolute insanity. Good luck with your project. I'm outta here. Oh, and I hope your company goes bankrupt.",2021
post-7066376,EM1,"May 5, 2021 at 2:21 AM","Been w Uber over 5yrs. Ive never received a notirication from the driver app while its completely off. Until today. The app sends me two notifications to log into uber to go drive. Then received the email asking me to recruit 5 new drivers & get paid $1,000!
",2021
post-7124252,kingcorey321,"Jun 28, 2021 at 8:30 PM","Yesterday i did a oil change on the car. Well i made a huge mess oil everywhere . 
Lot of oil spilled on the plastic on the bottom of the car.
Update . I did a lyft from the q. Drop off pax in a big fancy house fresh white driveway .
Well the drive was up a big hill. All the oil dripped out all over the driveway all the way up !
It was all over major mess . OMG what does a guy doo ????
Drove off acted stupid . They did tip me in the app hours late . Wow i felt bad.",2021
post-7123809,June132017,"Jun 28, 2021 at 12:11 PM","My rider was pretty funny and tipped $50 cash up front. She was friendly though and it made the ride a breeze. Then she wanted to tip me $40, and I said, ""No, gas prices are too high now and you already gave me the money."" She said she did some weed with moly in it? Something like that. Told me about the time she did PCP. I asked her if it gave her energy. She said it made her slower and didn't like the feeling.

The funny part was she put the wrong address in. Then she asked me to grab my phone. I said, ""okay, but I don't have the cash app."" Hahaha because she was probably trying to send herself money. She scrolled through my apps so that was interesting. Maybe she really was looking for Google Maps though. Probably.

She also said she saved up $5,000 from unemployment benefits. I wonder if it wasn't from the cash app scam she tried pulling on me? Does cash app open up when the phone is unlocked? Doesn't it require the user to put the password? I don't have it like I said, so i'm curious. So what does everyone think? She was opening Google Maps, or looking for the cash app? She should have been more slick I guess. Changed the debit card on the Lyft payout : D",2021
post-7113397,Odin2020,"Jun 17, 2021 at 10:34 PM","

I need help I got deactivated for refusing a rider who brought a dog. She falsely accused me for service dog. I asked what the dog is trained for? She said emotional support. Someone please help",2021
post-7122789,Dig_dong_im_home64125,"Jun 27, 2021 at 5:52 AM","





Interesting, Seems the people of that state being LEGALLY PROACTIVE, made a difference??
They simply filed an Injunction.",2021
post-7121115,Bojingles,"Jun 25, 2021 at 3:17 PM",Entering rideshare business.,2021
post-7123775,FLKeys,"Jun 28, 2021 at 11:25 AM","Uber just approved my new insurance card in less than 5 minutes. Usually this is a multiple submit process. The picture I sent was kind of crappy, I fully expected them to kick it out.",2021
post-7123436,Haanjo,"Jun 28, 2021 at 12:10 AM","I picked up an Uber Eats order from a discount restaurant.

As I'm about to arrive at the customers apartment, a phone call comes in. I figure it's the customer who wants to give me special instructions to get to their place, so I answer.

Turns out it's the restaurant manager. He said he was not watching the front desk, and his employee forgot to give me the drinks that went with the order.

I tell him to refund the drinks, and I'm not coming back because I don't get paid to go back and deliver the drinks, and besides, it's his employee's responsibility to give me the correct order.

He tells me its between the customer and Uber, and its my responsibility to get the order right too. I tell him not only was his employee rude, but not to blame me for his employees mistake.

He tells me to tell the customer that I forgot his drinks. I tell him I'm done talking to him, to have a good night, and hang up the phone. At this point, I'm pretty irritated, and basically had already raised my voice when he blamed me for the mistake.

Yeah, I know, I could have checked for drinks, but when an employee hands me an order, I'm going to assume its correct. Every once in a while I do check orders for drinks, and occassionally I do catch errors, but I'm not going to waste my time and check the accuracy of orders everytime, especially if 97% of the time the orders are correct anyway, which is my satisfaction rate after this order.

What I didn't realize until I hung up, is that the restaurant can actually give you negative feedback, and when I checked my rating for deliveries, sure enough, the manager dinged me. Apparently the customer dinged me too...about 5 minutes after I checked my rating from the merchant, my customer satisfaction rating had dropped from 98% to 97%...which I suspect happened when the customer called the restaurant and the manager blamed me for the mistake.

Anyway, I came really close for telling the manager to F*** Off, so I'm glad I kept my cool. 

So, if you ever find yourself of the situation, first off, don't be an idiot like me and answer your phone like I did, and if you do answer the phone, be careful what you say to the store manager. Having said that, you aren't a store employee, and if they try to blame you for their employee screwing up, tell them to shove it, because at the end of the day, it's on them and not you.",2021
post-7122144,FLKeys,"Jun 26, 2021 at 1:44 PM","Had an Uber Eats delivers last night, said leave at door. Start up the steps and see a glass door from top to bottom with blinds half up. Set food down and snap a picture. As I hit okay I catch the back ground. Couple going at it right in the middle of the living room. Glanced up and yeah they were going to town. Dang, close the blind if you re expecting a delivery. Oh well, they got dinner and I got a show.",2021
post-7122104,jfinks,"Jun 26, 2021 at 12:42 PM",Typically businesses sell products for about 2.5x - 3x what they cost to make. Your car on average costs 57 cents per mile to operate. You should be selling that service for about $1.50 a mile on average.,2021
