Post,Name,Datetime,Story,year
post-6708357,Young Kim,"Dec 26, 2020 at 2:23 AM","I wanted to post the story because I thought it was so interesting. Last night one of my passengers was coming from his apartment to the target by lincolnwood, illinois for his overnight shift. I started the conversation by mentioning how target treats their employees very well because I heard they're giving good hazard pay.

He replied that they are and that they're hiring now at his store in case I wanted to apply. We then talked about how during the holidays everybody's around family and I asked him if he was excited to be around his family. He told me he was from st Louis and he will only be spending it with his roommates.

So then I asked him if he will see his family on zoom. He replied that he would only see his sister and his niece on zoom. So then of course I naturally asked about his parents. There was a long pause... He reply that he hasn't seen his parents since he was 15 years old and he's 40 years old now.

I gauged how he looked in the rear view mirror...and then I just asked gently ""could I ask why you haven't seen him in so long? are they still alive?""

He then asked in a funny way ""is this taxi cab confession"" or a ""1 hour psychology therapy session?"" I replied that it was not and he felt uncomfortable sharing he doesn't have to...

After a long pause he said ""well I guess i'll tell you because I won't ever see you again for the rest of my life. And this is something that I wanted to tell my co-workers but I can't.""

What he told me is that he is irish and usually irish people are so close family-wise. But both of his parents were serious drug addicts who abused him mentally and physically. Shortly after he ran away from home at age 15, his sister ran away from home too. He said he has no plans to ever see his parents again and cannot forgive them for what they did to him. 

After he ran away from home he worked odd jobs and stayed at friends homes. he's very proud of what he has accomplished even though he's never gone to college. I wanted to share the story because it's very surprising that people will share their most intimate life secrets with their Uber drivers.",2020
post-6723177,MyJessicaLS430,"Dec 31, 2020 at 3:57 PM","Knowing this question is probably market-dependent, will the pandemic be an additional factor for consideration? Learning from this forum that the best time to drive on New Year's Eve is between 11pm to 4am with the incredible surge in the past years, will that even be available this year?

Personally, I have quit Ubering since the removal of Select. With the paltry $3 here and there (if there are any), it does not worth my time anymore. On the New Year's Eve in 2018, I did a few rides with the last one taken before 10pm. That was a few weeks after Uber replaced the multiplier with flat surge. With the Select fare bringing an older couple to an upscale restaurant and their generous tip, I took home with ~$70 after 4 hours of work. I cannot imagine to only driving stingy people around with base X fares alone before the real money pours in past midnight ($14+ surge in Houston core).

Anyway, to those of you who will be driving tonight, stay safe and I wish you all make bank! A lot here has experience dealing with the drunks and obnoxious but you can only imagine the aggravations associated with the 'festival vibe'. I also know some here have no problems at all driving people unmasked which I respect an individual's decision. However, for those of you who do care, allow me to share this.




Finally, Happy New Year and hope everyone will have a stress-free 2021 without falling ill!",2020
post-6723841,#1husler,"Dec 31, 2020 at 7:51 PM","Well, today it finally happened. I saw and encountered a special kinda 2020 ride which I've never seen, or heard of, before...and this after I thought we've been through it all this year...in 2020 I had to take a pax through a drive through food bank (I had a buddy who drove one through a drive through COVID test!) and even knew someone who picked up a felon being released from state penitentiary (true story), but today truly surprised me.

I pulled up to an apartment, where a couple of college age guys were clearly moving house, with all their household junk on the lawn...one mini-van was almost fully loaded, but a ton of stuff remained...then this guy runs up to my car and asks me to open the hatch....after some inquiry, he divulged that he wanted to load up my car (including the passenger seat), then I should follow him in the mini van to his new place. I give him my stock line about not being able to do an extended wait because I have ""another passenger"" in the queue, canceled the ride and piled out of there. Man. 

I've heard of Uber Eats, maybe there should be an UberHelpUMove?",2020
post-6609740,Young Kim,"Nov 4, 2020 at 2:37 AM","I picked up a guy named ar"""""""""" by franklin park illinois. I took him for a 45 minute drive all the way to the south side of Chicago he said by englewood. (The screenshot I took was about 15 minutes into the ride right before I enter the eisenhower) But on my map it says something slightly different. His story was was that he was the father of five. He is only 24 years old though. He has the children with multiple baby mamas.

I asked him what he did to support them and he said he does not have a job but just sells drugs. He had been in jail before the last time was for armed robbery he did 6 months. He said that he has post-traumatic stress disorder and depression.

when I asked him why, he said that because he saw his younger brother and his best friend get shot right in front of him. His best friend was shot once in the head and two times the neck. His brother was shot in the back and in the head. he has also been shot multiple times the last time they missed and shot him through his ankle. He was wearing a cast where he had ostensibly been shot. On his right arm.

He said that both were killed not because they had done anything really serious like kill someone directly. Or steal drugs or money or rat out someone. Rather, they were just pawns in another multiple scoring side game series. He said they are almost like teams on the NBA in Chicago. There's so many active ""games"" going on. but of course the object is not just for baskets but rather for people.


He said that and he used the words is kind of like a game of ""ping pong"" out here in the south and the west side of chicago. He said it's kind of like a game of chess as well. When one person takes a piece on one side the other person tries to take a piece on the opposing side. And there are sacrifices on both sides.

I thought that most of the killings would be drug related but he said that's not the case. He said that many killings are part of a larger game going on and a larger war where multiple battles go on in different areas. Where the object is just to knock out as many people on the opposing side. and you sacrifice some of your own members to get to the higher level members.

He said that often the killing is almost on a whim. He said that if you have a friend and somebody ""scored "" on one of his other friends and was "" blocked"", then you have an obligation to help him carry out a hit. He said that if you've just met someone then of course you wouldn't carry on a hit but if you became good friends and there was a score to settle then you would sort of have to join in.

He said that it is literally an active war zone and there's so many different battles going on at once. I asked him how many games there were and he said they're just too numerous to count.

He didn't say that there's any specific areas that are more dangerous than another. He said that you have to keep on monitoring who is on any particular corner at any given time. if you go to a corner where there's someone trying to score on your team. , Which means someone's trying to kill someone on your team, then you have to avoid that area. One ""score"" means that you killed somebody on the opposing team and a ""block"" means that instead of getting killed you were able to get at least one shot off onto the other person.

He said that after three successful blocks the person trying to score on you must by street principal avoid trying to kill you for at least one week. They can try again after week but then there has to be some kind of majority vote. On who can volley for the next attempted score.

He does not talk to his father as his father has been in jail for most of his life. But he does have 5-year goals which I asked about. He wants to move out of his grandmother's house and he wants to get a job as a busboy at olive garden.

well I told him that I drive sometimes on the south of the west side and I've never had any problem, he was not surprised. he said that if you mind your own business and don't wear any fancy jewelry or drive a fancy car, then in Chicago street principle everyone is supposed to leave you alone. If someone were to inflict serious harm to someone like me who is an outsider then said that other members would actively hunt that person down because I am not actively participating in any active"" street game."" He said that now that he knows me, he said I would be protected on certain areas participates in. He was Telling other members that he was talking to on his team about me and my car and then I was ""protected* from now on. He said that he is part of a rather large group connected to other groups and they would get the word out.

I asked him how hard it is to get a gun and he said that it's so easy that if I wanted one tonight and had a little bit of money I could just pick one up from him.

Of course, I don't feel any safer. After I dropped him off I logged off and I'm back in downtown right now. Common sense is of course i'd rather be in downtown but I do not actively avoid the south of the west side either.

I found this interesting because it was quite complicated and the killings and the settlings of different activities take place sometimes over many years.

(In my screenshot I blocked the name, but it was the name of a girlfriend anyway)",2020
post-6711073,Cvillegordo,"Dec 27, 2020 at 3:06 PM","There is a sizeable population of people from Congo in this area. I worked with one for a couple years; amazing person, he spoke 6 languages. Almost all Congolese people speak English, French, Swahili, and at least one tribal language. I enjoy talking to them, I lived in West Africa when I was a kid so that is a great conversation starter. Picked a young Congolese pax up today, he was going to work at one of our buffet restaurants. Super friendly and outgoing. He settled into the back seat, opened a case and proceeded to set out an impressive array of toilet articles; deodorant, cologne, lotions. Lord knows what else. So we're driving down the road having a spirited conversation, and this guy is slathering on all these products like he's home in his own bathroom. I was in utter disbelief; so caught off guard that I didn't say a word about it, just continued our conversation. After dropping him off I quickly checked; not a drop of anything spilled; but the smell of cologne is still lingering hours later, even after wiping everything down.",2020
post-6703757,Ozzyoz,"Dec 23, 2020 at 11:51 PM","He had large Muscular arms from his construction job. He ended up tipping me $20.. i played along to avoid his drunk self from punching me. It's from 2016 when I was weaker and skinnier. Right now I'm larger and can take him on easily. I also have another video of a white guy asking me if I do Shrooms. That time I didn't do Shrooms but now it's different case.

",2020
post-6709997,Classical Telecaster,"Dec 27, 2020 at 12:56 AM","Anyone else checked out “War With Grandpa”? Funny little film with an a-list cast: Deniro, Christopher Walken, Uma Thurman and Jane Seymour. 

One of the characters is “Chuck, the Lyft driver.” The guy does not have a single line, but I found his scenes hysterical. Available on Amazon Prime.",2020
post-6710961,Ozzyoz,"Dec 27, 2020 at 2:19 PM","We may need a sub forum just for Stocks honestly as Uber/Lyft stocks are about to start sizzling. 
I think Uber stock may hit $100 so I may do call options on it. Sadly I missed out on $70,000 in gains by selling too soon the MVIS STOCK out of fear. I made $2k out of the **** though.

But soon I have an upcoming potential gains of $30k in Calls

FOMO is a bad thing

",2020
post-6633848,_Tron_,"Nov 16, 2020 at 1:03 PM","I drive in a medium sized metropolitan area in California. Not a big city. Crime is relatively low. Smallish homeless population. The few protests that occurred this year were peaceful. None-the-less, for several years now across the board I've noticed that people are becoming edgier.... more stressed out... more angst ridden. People already on the edge have been falling off it.

But in the past few months, even in the typically docile communities I traverse in my rideshare car I am witnessing events I've only ever seen on TV. Take for example a recent morning run to McDonald's for morning coffee, which ended up in a showdown not dissimilar to the Seinfeld episode where George and another driver both claim the same parking space on a New York street. The drive-through has two ordering lanes which converge to a single lane. While placing my order in lane 2 an SUV abruptly pulls in to lane 1 and starts ordering. We both pull forward to the single lane to make payment around the same time, but I end up slightly ahead of the other driver. Still, he edges his vehicle close to the car in front of us waiting to pay. I am feeling a bit anxious myself and refuse to give any ground. The Lane 1 driver has his right window down. Conversation ensues...

Me: ""I was ahead of you sir.""
Lane 1 guy: ""No. I was already ahead of you and in line.""
Me: ""No, you weren't.
Lane 1 guy: Repeats his claim, and pulls his car forward another foot.
Me: ""OK. You win. Go ahead and go."" I back up a few feet
Lane 1 guy: He mouths off some more even though he had won. I don't recall the exact words.
Me: ""Go ahead. Clearly it's important to you to go first""
Lane 1 guy: ""Well clearly it's important to you too!""
Me: ""But it's clearly  important to you""

With that last sentence I have achieved a verbal technical knockout. The driver knows this and is so frustrated by it that he exits his vehicle and starts heading to my car, announcing in a threatening voice, ""Oh, you got something to say?"". I am of course trapped in the drive-through line with no escape. I am of retirement age and this guy is half my age, twice as big, and grossly overweight.

I roll the window part way up. Then with my left hand I retrieve the can of pepper spray from the door pocket and grab my phone with the other hand. I shout out, ""Get back in your car fatso or I'll mace you and call 911.""

The guy collects his senses and retreats to his car. Now the pay window is clear for us to pull forward. I announce to the other driver, ""I'm  going to let you go ahead"". He pulled ahead, infuriated. Later when I pulled in to traffic and got caught at the first red light there was the guy again, nearly next to me. He didn't see me though, and as the light turned green he was on his horn for the guy in front of him, who wasn't moving fast enough to suit him.

---
In another incident I was driving on a two lane road that necked down to one lane after an intersection. Traffic was heavy but moving with the green light. As I crossed the intersection suddenly a big diesel pickup (4-door, duallies) lunges forward from the cross street, which had the red light. The truck turns right and is now parallel to me in what is the merge lane just before the road becomes 1 lane. The driver is flooring it and you can hear the loud diesel laboring under the load.

I choose to give no ground (I am admittedly stubborn at times), thinking that as the roadway gets narrower and narrower the driver will eventually back off. But noooooooo. He keeps moving to the left until finally I have no choice but to either let him hit me or give up the lane. I was forced out of the lane and into one of those center type lanes that allow vehicles driving in either direction to make a left turn. I then eased in behind the giant truck.

After about a mile the pickup turns off on a side street. I was still pissed off enough that I decided to follow it and get a shot of the license plate to report the driver to the police for reckless driving. Big mistake. In short order the driver pulls over to a curb. I do likewise about four car lengths back. I'm thinking the guy is going into a nearby business. But noooo. Out pops the driver and heading straight for me. The dude is MASSIVE. The word ""monster"" actually popped into my mind. He was nearly as big as his truck. Giant bald head. You know the type. Except in this case his head sort of narrowed at the top and came to a crown. Like he was deformed or something. Kind of like the extra-wide version of Zippy the pinhead.

Walking toward my car, in a bellowing voice he shouts out, ""Do you have something to say, ********?"" I was so scared I sort of froze. Wasn't even thinking about the pepper spray, which easily could have easily backfired anyway. Like shooting a 22 at a Grizzly bear and simply pissing it off. The only thing I could think of was to act like I was photographing him and the truck. Maybe fear of the incident being documented would make him back off. It didn't. Worse yet, I couldn't find the camera icon on the stupid phone, so I was just pretending to photograph him and his truck. The dude came right up to my (fully closed) window. I ignored him, steadfastly pretending to photograph the scene. In frustration he slammed his fist against the driver's window and walked back to his truck. My whole car shook from the single fist pound. Why the glass didn't break I do not know.

---
There have been other unusual, over-the-top vehicle incidents lately as well. But all the other ones I've just backed away from. In greater numbers, people are losing their senses at times. And you simply can't argue with a crazy person.

Finally, there was this vehicle parked in a CVS parking lot....












",2020
post-6710321,Young Kim,"Dec 27, 2020 at 9:03 AM","So toward the end of the night around 4:00 a.m. saturday night I was in evanston and picked up a lady with a suitcase. I knew that of course she's going to O'Hare airport. She was very talkative and told me that she wants to tell me a story of true love.

She said that she's reconnecting with someone that she's loved for 45 years. She said that back when she was just a teenager she went on a date with this guy named larry in high school. Both of them were so shy back then that they didn't know how to spark anything up. 

Anyway, years past and he got married and she married some lawyer. They had three children. She said the first 10 years of the marriage were good but after that it fell apart as he got verbally abusive. Then later she found out that he was hiring prostitutes for many many years. She found this out because he accidentally called her phone and left a voicemail talking to one of the call girls that he was regularly seeing. She said she wanted to stick to her wedding vows and also for children so she still stayed in the marriage.

Then 3 years ago her husband was diagnosed with ALS. It progress rapidly. She stayed back from her job to take care of him during his final years. But in february of 2019 she was in jewel and she sent a random text to larry who was still an old friend of hers over the years. 

Larry replied to her that he's in the midst of getting a divorce. She informed larry that her husband is in the terminal stages of ALS and doesn't have long to live. So in february of 2020 he said that he's coming to chicago to visit a friend. as soon as she met him in his hotel room she said there was an instant connection and it was like she met her twin flame in this life. They made love that night and the following night. She said that it was dynamite and it was the best sex she ever had. 

She's then saw him in april then in june then in july and then in september. In september of this year is when her husband finally passed away. She confessed to me even though she fell slightly guilty about it that she was finally relieved that her husband had passed. It was hard taking care of someone with that disease but she wanted to stay true to the promise of taking care of him till the end.

however her children were very angry at her for having an affair while their father was still alive. But in her mind she felt that why should she feel not feel bad because the marriage had been ostensibly over 20 years ago when they were no longer in love. And the fact that she knew that he was having affairs himself with multiple prostitutes over decades., Made it easier to have the affairs because she knew that her husband was going to die anyway very soon.

I did not judge her but during the long ride to O'Hare from evanston illinois I showed her a couple of my magic tricks on my phone. She was so amazed and she said that she wanted my phone number so that she could invite me for her friends or for children's parties of parents that she knows. I said fine and I texted her my number. 

Then later before we left she said that if she was not meeting larry that she would have loved to gone on a date with me! As we left the ride she asked me that when she comes back in a week if we could have coffee.

She was 59 years old and she had a very nice figure skinny ...but I told her that there's no way I would do anything that might compromise her new relationship with larry. I don't think that it was a romantic gesture but rather because she felt that we had such a strong connection. Anyway we ended the ride very pleasantly and I wished her well and she said that she would keep in touch with me about what happens. After a few minutes I started getting texts with her though however.

I just replied that I hope this thing with larry goes well and that you both get married. I thought it was a fastening love story that after 45 years her who was named michelle and this new guy larry could be kindle their 45 year old gap where they knew that they loved each other all along. I did tell her that sometimes this kind of true love does last or take a very long time in this case for her 45 years. but I wish her well and I hope that this new relationship completely works out. And I told her that her children should be understanding and forgive her and be happy for her.",2020
post-6708815,Ignatowski,"Dec 26, 2020 at 11:57 AM","A document you submitted was rejected
The surging airport lot lies empty
Peace on Earth for Christmas Day",2020
post-6696769,MHR,"Dec 21, 2020 at 5:21 PM","
Merry Christmas and Happy Holidays y'all.

I'm interested to know where you guys fall on the Holiday Mood Meter this year? I'm finding myself in the mildly irritated range and that's making me even more irritated because I'm not sure why I'm irritated to being with.

I'm hoping it's just 2020 overload and it'll pass quickly.

So...what do y'all have planned for this year's holiday celebrations? Do you have your presents wrapped already and the tree decorated or are you going the Bah Humbug route? Are you more Buddy the Elf or the Grinch this year? Are there going to be fresh cookies and milk for Santa or is he getting a Slim Jim and warm, stale beer?

Well...whatever your mood and whatever Holiday you might be celebrating I sincerely hope every single one of you can find a bit of joy this season. Lord knows we could all use it.",2020
post-6553712,OldUncleDave,"Oct 5, 2020 at 5:08 PM","Many, I mean a LOT of pax are complaining about drivers accepting trips, then cancelling. Some have been trying to get home for 3-4 HOURS, with 5-6 drivers cancelling on them, even with the (California) multiplier of 4x and 5x.

Now, some of them I can understand, but my philosophy is, if you accept the trip, you should keep it. Maybe a 5 minute window to cancel, but it is about customer service. You cancel, now I have to deal with a pissed off pax, and try to calm them down, else I get YOUR 1* .

Last night, one of my last trips of the night. 6 mile to pickup, 30 mile trip, drop off was a mile from my house. SWEET!

As soon as I accepted, text message, ""Please don't cancel on me! I've been trying to get home for 3 hours!"" 

She has a 4.90 rating. When I get there, she tells me drivers have been 3 minutes away and cancelled.

Just don't understand the mindset of these drivers!!",2020
post-6705059,Germanic Affairs,"Dec 24, 2020 at 3:12 PM","I don't want to be negative in the Holiday Seasons. That is not my intent. Many of you work Uber because you have nothing. Many of you work Uber because you are unempolyable. Many work Uber because they are social outcasts. Many work Uber because they are lazy. Many work Uber because they don't have the ambition to do something else or the ability to use their brains to find something. Like I said I don't want to be negative and emphasize these type of problems, I don't even want to mention them.

Thing is, if you don't do anything things only get worst. Waiting for a miracle is silly. I keep hearing people say ""Thank God 2020 is over"" or ""I am so happy 2020 is finally over"". I merely ask a simple question. Why? Why is it good 2020 is over? What makes you think 2021 will get better? Why couldn't 2021 be even worse?

The only way to better yourself starts with yourself. Don't depend on others. You need to be the one that finds their way out of the trap. I hope with the Holiday Season you are all going back to school or starting school, or starting a apprenticeship or you are starting a job in something that you can get skilled or educated in something marketable or you are getting certified or licensed in something in demand.

Anyways have a Merry Christmas, go to church, confess your sins, and start the New Year's as a new human that is productive and worthy of society. That actually does something for humanity, not just applying for unemployment and accepting pings from your car all day.

Merry Christmas and Happy New Year!!!",2020
post-6694591,Young Kim,"Dec 20, 2020 at 11:08 PM","I was making an uber Eats delivery in lincolnwood illinois. And here are some of the amazing Christmas decorations on many homes... the pictures are not wide angle so it couldn't capture everything but you could get the idea.

Every year I see a caravan of cars, always driving around the area. I always love it when I get a delivery or a ride around this neighborhood...







",2020
post-6705559,TCar,"Dec 24, 2020 at 6:23 PM","Just watched ""Rush"" on Netflix.
If you love Rush then you know!
Merry Christmas

Side note, this is REAL

The Endless Summer of Muse!",2020
post-6703125,Benjamin M,"Dec 23, 2020 at 7:42 PM","⚠ WARNING - buzz killer post. 

Drove passengers for the first time in weeks this afternoon. People were driving like maniacs, as has been the case since the protests - cops seem to have mainly thrown in the towel around here. 

Was driving on I-64, saw a major collision on the opposite lane. Less than half a mile away, came up on a multi vehicle collision with an obvious fatality that had happened within minutes before. 

Had a passenger, felt powerless. Wanted to stop. Saw this poor elderly man dead and who knows about the other car, crashed in the median on the other side of the road. 

If not for me missing a turn because my pax was back seat driving, I would have likely been in the middle of this. Today wasn't my day (or my pax). Saw several other minor accidents heading home, driving carefully as I could. 

Always tell your loved ones that you love them before you leave (I always kiss my pup and tell my wife I love her, even if she's pissed at me for something), SLOW DOWN, and please be careful.

Positives, stacked pings that were all at least 10 miles with minimal distance to the pickup. I swear I was the only driver out, I'd start a trip 20+ minutes away from the next one.",2020
