clean_story,sentiment_compound_polarity,sentiment_neutral,sentiment_negative,sentiment_positive,sentiment_type,happy,angry,surprise,sad,fear,year,Name
"A yearold  girl has been accused of stabbing and killing an  driver in National City 
Police said they found Raquel Spohn Wehber  in her car near a neighborhood market with multiple stab wounds last Tuesday 

How do you like this story




I felt unsafe couple of time with female passengers on the back who were fooling around while I drove them Nothing bad happen though But new generation have no respect to anything",-0.7814,0.181,0.72,0.1,Negative,0.18,0.0,0.27,0.27,0.27,2021,Uber_J
"I get a request for a  minute trip on Uber to pick up at Chipotle I get there and the place is deserted I dont think it was actually open yet save for a man sitting at one of the outside tables The guy looked a bit poor  like your normal lower class service worker here really

The guy gets in and immediately slams my door but apologizes right away Fair play I think to myself At least he apologized He ended up being a pretty good passenger and he asked me a lot about Uber I think this might have been his first Uber ride

At the destination I end the trip and explain that it should pop up on his phone in a minute or so with a record of the trip and what it cost About  seconds later he tells me that he tipped me  and would have tipped more but that was the most they would allow 

It occurs to me that this gig would be very different if every passenger tipped like him Also dont judge a book by the cover Sometimes what looks like a bad trip can actually end up being really good I get the feeling the guy tried to tip me ",0.9829,0.037,0.788,0.174,Positive,0.09,0.06,0.29,0.26,0.29,2020,touberornottouber
"I figured it wasnt worth doing Probably  mins to get there and  mins to get out of the concert traffic I figured people would understand to tip So I did an experiment and see if they would tip Nope Both rides didnt tip yet 

Then some random guy tips  on a  minute ride not involving the concert Lol you cant make this stuff up 

 was what I was looking for the concert traffic  for generous tippers in the concert traffic Maybe  if they wanted to really tip",0.6634,0.019,0.91,0.07,Positive,0.07,0.07,0.07,0.5,0.29,2021,June132017
"I guess these renters didnt pay rent for a while So the guy there was pretty nice and asked me if he could put all this junk and an air conditioner in the trunk Sure why not 

So he loaded up the trunk with trash bags full on items Luckily he closes the trunk nicely after a few attempts So then a kid and the  adults get in the car  miles away to Days Inn we go  mins for them to unload there Metal silverware starts piercing the bags and falling to the cement In my mind yep this verifies the eviction ride theory 

At least they realized I cut them a break because at first I was saying I didnt want alot of stuff in my car They seemed very grateful which was nice",0.9448,0.054,0.781,0.165,Positive,0.36,0.14,0.23,0.09,0.18,2021,June132017
"Got an invitation to accompany a lady to her room In this case it was a bungalow I politely declined and moved about my evening She was attractive and a little tipsy Wouldnt say drunk but definitely feeling the buzz

Just got a voice mail from her thanks for giving my number out Uber She left her sandals under my passenger side front seat could I kindly bring them to Bungalow  tonight between  and  PM Call her if I have any questions the number she left matches the number she called from so not an Uber line Ran out to my car and sure enough there are a pair of sandals wedged under the seat

When I leave at work tonight and drive by the resort I will be leaving the sandals with the front desk and the instructions to deliver them between    PM Let them deal with it

This is my rd offer in just over  years Hope it is my last",0.9796,0.008,0.812,0.181,Positive,0.1,0.0,0.1,0.1,0.7,2021,FLKeys
Ive been driving in the Charlottesville Virginia area since the fall of  I have taken rides to Richmond Harrisonburg and Stanton and picked up rides in those areas on the way back Ive also gone as far North as Culpeper but did not get any pings on the way back from there My understanding has always been that if I were to take a longer trip for example to Dulles airport that I could set my destination to return and possibly get trips along the way I have never done this because it doesnt seem to make sense financially Is too much time and too many dead miles Ive always assumed that Im not authorized to drive in that area other than in a return situation Yesterday I had a conversation with support about my annual inspection I uploaded the new certificate and they did not automatically lift the hold I had to call them After the rep helps me out she did confirm that my area includes anywhere in Virginia She also said that if I can go online that means I can get trips My wife and I are in NoVA DC and Maryland  to  days a week for her work I always play with the app to look at surges and so forth and I have always been able to go online in those areas I havent tried to actually take trips or pings simply because Ive never been in my car Im always in my wifes company car but theoretically I COULD take my car I spend  hours amusing myself while she works the idea is tempting except for the problem of putting huge miles on my car just for a few bucks Support has told me quite a number of incorrect things in the past so is this person correct or is this person confused Is it true that if you can go online you will get pings When my inspection was expired for the last several days I could still go online  I just wasnt getting any pings So that tends to refute the information that support told me already Thoughts,0.9397,0.034,0.886,0.08,Positive,0.05,0.0,0.13,0.39,0.42,2021,Cvillegordo
Once on Monday and once on Wednesday I got  out of the Wed cancel while in route Thoughts,-0.25,0.111,0.889,0.0,Negative,0.0,0.0,0.0,0.0,1.0,2021,June132017
"Well not really Urine however the PAX should not have lied

I get to a pickup and there is a guy and girl in bathing suites She is wrapped in a beach towel he does not have one Doors are locked I roll down window and ask are you wet you cant get in if you are wet If you are still wet I have extra towels in the back Guy replies no they are not wet I repeat I have extra towels in the back you can sit on He says no we are not wet 

I open the doors and they get in Take them several miles to a resort Talk about how people want to get in while wet and I cant drive anymore until my seats dry She gets out and her towel falls off okay string bikini the size of yarn explains why she was wrapped up in a towel I pull away and decided I better check the seat behind me Idiot lied I could clearly see where his bathing suit was wet and left my seat wet

I turn the app off take pictures and send in a urine complaint to Uber after all he said he was not wet so he must have pissed his pants

Took about two hours for Uber to respond along with  for cleaning fee and  extra Uber Pro points would be added to my total Replied back that I had to have my seat cleaned as he pissed in it and they replied back that rider claimed his bathing suite must have been wet from swimming I replied back with the conversation I had with the rider and also uploaded the video and sent them a link Explained the video clearly shows he said he was not wet After some back and forth for two days now Uber finally sent me another  for a total of 

And what is up with the  extra Uber Pro points Told them I had no use for the Uber Pro Points The never responded to that",-0.6738,0.059,0.889,0.052,Negative,0.03,0.09,0.42,0.18,0.27,2021,FLKeys
Additional comments here please,0.3182,0.0,0.566,0.434,Negative,0.0,0.0,0.0,1.0,0.0,2018,upyouruber
"They survived the driver in National City did not

worth risking your life

",0.5568,0.098,0.591,0.311,Positive,0.33,0.0,0.0,0.0,0.67,2021,EM1
"So there was this beautiful oak looking antique wooden chair in the middle of the onramp I just made sure it was clear and avoided the chair When I passed it looked like one of the legs broke I guess it fell out of a pickup truck The chair landed on a onramp to a  MPH highway

So later on I was on the same ramp I didnt even realize it until I saw the chair obliterated into hundreds of pieces Another truck probably had a bad day and smoked that chair They probably messed up the radiator",-0.2903,0.135,0.751,0.114,Negative,0.13,0.27,0.13,0.2,0.27,2021,June132017
"Ar  I get the textbe right out

At  Im driving down the road outta there and I see this dude running down the street waving at me in my rear view mirror

He looked like Daraclosely cropped faux  oclock shadowstarting to go bald just missing the fake teeth

No I didnt stop",-0.4788,0.134,0.787,0.079,Negative,0.0,0.14,0.0,0.43,0.43,2021,ANT 7
So I picked up this one guy lets name him Chad I picked him up with him and what I figure is his girlfriend about half a dozen times The girlfriend is very pretty in my opinion So last night I was shocked to get a request from Chad at the hotel So who is waiting there Some girl who isnt Chads girlfriend and Chad and girlfriend arent there She has all these tattoos and was dressed up to the s Intresting Maybe they were all just partying together I dont know I think I know whats going on here though Luckily the ride went smooth for me,0.796,0.022,0.889,0.089,Positive,0.2,0.0,0.4,0.2,0.2,2021,June132017
"These medallion owners and their banks have been taking it on the chin

",0.0,0.0,1.0,0.0,Neutral,0.0,0.0,0.5,0.0,0.5,2021,JeanOcelot0
"So I picked this lady up from a mini mall Pizza Hut

she wanted to just pay for  hours of time at  an hour

uhh

sure ok So with the  already on the meter plus  hours that will be 

yeah  hours


Ok swipe your card now



and aside from a trip to  nothing

just sitting here in a parking lot

like derping here in a parking lot on the four to of July dispatch is screaming for cabs and I got  for like  hours  minutes of nothing

Really

Strange

 hour  to go",0.866,0.041,0.796,0.162,Positive,0.0,0.0,0.14,0.29,0.57,2021,Stevie The magic Unicorn
"This pic is not photoshop I took it this afternoon Vehicle is not an Uber as it is missing certain regulatory decals trade dress is the US term

Kewl

",0.296,0.07,0.791,0.139,Negative,0.0,0.0,0.33,0.33,0.33,2021,ANT 7
"For anyone doing Eats profitably I say more power to you

But I cant fathom why anyone would use this service As a user of the Uber rider app I have been getting deluged with emailed coupons to try Eats for free But free doesnt include the many many ancillary charges like service fees First I tried to use a  coupon and got this







Then I tried a  coupon and ordered  worth of food With all the extra chargers the meal was going to be  out of pocket None the less I ordered with a  tip up front Was given a nearly hour delivery window Two hours later the order was cancelled on a your order could not be delivered error

Tried the  coupon again for  of food The free meal was going to cost nearly  Coupon or no coupon the misc chargers are hilarious





Delivery fee Service fee CA Driver benefits fee And on top of that a tip charge that defaults to 

No thank you",0.9599,0.048,0.789,0.163,Positive,0.27,0.05,0.18,0.14,0.36,2021,_Tron_
"I was doing food delivery that day and stopped at Wawa to grab some things to eat and drink in between orders

I am in line and there is this middle ages black guy in front of me In front of him was this overweight guy As the overweight customer is getting rung up he all of a sudden went on some kind of fart storm Like if you ate a lot of chili with beans in it and you just have a lot of gas with no expectation of using the bathroom Just pressure and air

So it basically went like this
loud fart sound then stops
Oh god sorry im really sorry
more fart sounds after that then stop
Oh geez I am really sorry like oh my fart sound god
more farting

The black guy in front of me turns around with such a disgusted look on his face like he was in the car driving past the sewage treatment plant on a hot day with the windows down

Then he speaks LOUDLY while also using his hands in an explaining way
black guy voice with actual tactful pausing
You know it smells like someone is taking a poop right here
points down with two fingers
Like I am standing in the bathroom stall right next to the guy who has food poisoning and taking a massive diarrhea dump

I busted out laughing so hard I had to grab the chip rack to keep me from falling The entire store was laughing hysterically The farting guy left real fast all embarrassed It did stink in that general area from the farts When the black guy gets up to the counter to pay a woman behind me walks past me and offers to pay and thanks him for making her laugh so hard it made her day

I guess I mean it was sad for the farting guy but the entire situation itself was funny I wish that black guy was on TV like doing stand up What a funny guy He played it straight right after that just kinda looking at everyone like come on now this guy Haha",0.9731,0.09,0.782,0.128,Positive,0.06,0.05,0.23,0.29,0.37,2021,The Jax
"Uber badly wants me to drive again It keeps sending incentive notices to my inbox So as it happens I have been driving Since last in the saddle I have lost Gold status and my ability to see the destination of a ride request is now based upon the newish accepting  of  ride requests algo

On the surface the of algo seems to me like a halfway decent compromise giving drivers up front details if they simply maintain a  acceptance rate Of course drivers who accept a smaller percentage of rides will note that the low pay makes the of algo a joke But even in my locale where Uber still pays  cents a mile and  cents a minute the of algo is a clown act As anyone who has focused on the algo knows acceptance rate is based upon each individual ride request rather than on passenger request

The downside of this nuanced difference played out for me yesterday with Darren Darren wanted a ride Badly His request for a long ride on the Lyft platform came to me and I declined it For my own good reasons I was unable to accommodate a pax who wanted a ride out of town After all I am an Independent Contractor and it is my right to choose which rides work for me Darren then came in on the Uber app which I also declined lowering my  of  acceptance rate one notch Undaunted for the next half hour Darren toggled back and forth between platforms requesting his outoftown ride

Uber in all its wisdom kept sending me Darrens requests The algo was too dumb to realize that if I turned the request down once nothing was going to change  minutes later But the requests kept coming and I noticed my acceptance rate was dropping with each successive decline Finally while on another ride Darrens request came in again Only this time there was no destination I didnt realize the request was from stubborn Darren and stupidly accepted it

I drive the  minutes to the pickup point then down a  mile dirt road which cakes the back of my freshly washed car with dust only to realize after starting the ride that my pax was the now infamous Darren Darren Im so sorry I cant drive you to xxx I know theres not a lot of Uber cars on duty right now being that a lot of drivers are still preferring UI but I just cant do it Darren whose family is just starting up a pot farm replies in a most mellow way that it is totally cool and to just drop him back to his pickup location I do and move on

Uber Dude I just want a reasonable driving experience Anything less than that and you are deincentivizing me Get it






And by the way cancelling  out of  rides is a  cancellation rate Not the  you are showing on my account

",0.7825,0.056,0.87,0.074,Positive,0.09,0.03,0.16,0.26,0.47,2021,_Tron_
"Youd think hed get free Uber rides for life But he resorts to Lyft What does this tell you 

At least he ordered a Lux and tipped well He didnt look like his normal self Pale white heavy set and short But still 

",0.509,0.045,0.839,0.116,Positive,0.1,0.1,0.1,0.3,0.4,2021,losiglow
"Sunday evening I ended a trip My next trip immediately popped up I must have been tired I dont remember accepting a stacked ping Oh well it was a mile away and I headed that way Later that evening I had another stacked trip that I did not recall taking Did the trip When it ended there was another stacked trip Okay I know Im not losing my mind and accepting trips without remembering it

This time before I arrived to that pickup I hit stop new requests After that drop off I went to see what I was being paid for each trip Basically looking for a surge No surge to be had Screen also did not show any surge zones Went back online and immediately received a ping After starting that trip I got a ping for a stacked ride Accepted it Dropped of PAX and headed to next pickup Started that trip no ping for a stacked trip Ended that ride and sure enough had another ping auto added Hit last ride Finished the final trip and said screw it Uber to cheap to be charging and paying a surge I went home",-0.6988,0.092,0.852,0.056,Negative,0.04,0.12,0.15,0.27,0.42,2021,FLKeys
"Weve had  degrees celcius nonstop for a week now Nornal temps for us are in the mid s at this time of year Its dry here so think hot like Palm Springs in July Im driving with the AC on for  hours straight

Averaging  bus stop pick ups every day so far Just like winter when it is  and people wont wait Tips are great as my AC is ice cold

What do you guys in the southern US do  I cannot image driving down there",0.8529,0.024,0.85,0.126,Positive,0.17,0.0,0.33,0.17,0.33,2021,ANT 7
"Pick up Aisha
Seems nice as we exchange pleasantries
Aisha begins conversation on speakerphone with her friend
Tells her about her wedding planned for new years eve yadda yadda yadda
Aisha thens begins discussing cost and such and how she is ONLY budgeting  for a wedding of  guests WTF
I almost drove into a ditch upon hearing that
Drop off at her hotel Thanks Bye
PS Aisha did NOT budget a penny towards giving me a tip ",0.7155,0.078,0.763,0.16,Positive,0.22,0.0,0.11,0.44,0.22,2021,Guido-TheKillerPimp
"How many drivers have picked up someone running from the police Knowingly or unknowingly at first

I have never knowingly picked up anyone running for the police

Last night I picked up my third one that I unknowingly at first picked up and latter realized they were running from the police

Each of my  pickups had different out comes",0.0,0.0,1.0,0.0,Neutral,0.0,0.0,1.0,0.0,0.0,2021,FLKeys
One thing I dont like about this gig is weirdos ordering rides People who wear hoodies and its hot out is one example,-0.4956,0.174,0.826,0.0,Negative,0.0,0.0,0.5,0.5,0.0,2021,June132017
We have been having promotions every day  per ride so our small downtown area where the promotion applies is flooded with drivers You can sit around and wait for one of the promo rides or if you want to make money you can take what comes your way and hopefully a few of the very short  rides will come your way as well Yesterday I took a  minute pick up at our airport for a  minute ride Normally and especially during these promotions I get in touch with the rider and make sure that he is coming back towards the downtown area  of the time that would be the case if they say theyre going North or West towards Harrisonburg I would probably cancel I dont want to end up  minutes away from the downtown area and possibly deadhead all the way back In this case I got no answer on my text and assuming that the guy was probably waiting for his bag or just on the phone I went ahead to the pick up anyway Surprise Going north to Ruckersville Shit Oh well Took him home  ride and  tip OK Set destination back to downtown and luckily got two trips along the return one short and one all the way back downtown Both of these tipped feeling lucky and good at this point Then I got the phone call My airport passenger thinks he left his phone in my car I look around the back and there it is under the seat on the side where he dropped it His girlfriend is smoking hot and not shy by the way Kids this is why you should lock your phones So I made the honest and well intentioned mistake of telling him that I found it This nice guy with the hot girlfriend immediately turned into an entitled jerk and demanded that I return my property to him at his house which is now more than  minutes away from my location At this point I had already accepted another trip so I told him to call me back in half an hour A few minutes later I got in touch with support and they confirmed to me that since I had informed the passenger and Uber that I found his property I was now obligated to return it to him Good Lord what a freaking nightmare Surge popping up on top of the promotion in the downtown area its heating up as people are starting to return to their hotels and homes from going out to eat Im going to miss making some really good money if I drive all the way out to this dudes house again He calls me again for the th time He is getting upset and is very pushy continues to demand that I drive to his home and return his property I push my luck and fib tell him that I cannot possibly drive all the way to Ruckersville as Im at the end of my shift After a near meltdown he acquiesces and agrees to meet me half way I suggest Walmart and he finally agrees Walmart is fortunately much farther for him than for me so I came out OK on this Drove to Walmart did a little shopping met the guy in front returned his phone and he didnt say a word no thank you nothing What a jerk and lesson learned never again will I admit to finding a phone from a distant drop off and never again will I drop anyone off at a distance without thoroughly checking around the back seat After over  trips I know better this was a stupid mistake But I got my  returned item fee and after another long talk with support they also added a bonus  promotion to my account,0.981,0.063,0.827,0.11,Positive,0.12,0.07,0.22,0.26,0.33,2021,Cvillegordo
"Strolled into my regular McDonalds to pick up a delivery and the manager said they accidentally made an extra McFlurry for my customer and asked if I wanted it I dont usually eat very much dairy or sugar but this was essentially the delivery mans dream trip FREE food  I couldnt pass it up and quickly downed it en route to my next delivery  later I was at home on the pot where I remained for the next  hours 

Be careful out there  anyone else got any free food talesnightmares ",0.9287,0.018,0.831,0.151,Positive,0.18,0.0,0.18,0.45,0.18,2021,BallinBruha
"Accounting Contractor AC Hello Im here for the Accounting project you advertised for
Major Corporation MC Great Were delighted to have you join our community
AC Im excited to be here and cant wait to start and contribute to your success What exactly will I be doing
MC Sorry we wont tell you until youre at your desk and ready to work
AC What How will I know if I want to do the work
MC Once you start on the project you can leave if you dont like the work No worries though well call you back when we have a new project for you
AC Well that sucks but OK How much will I be paid for this project
MC We wont tell you until you complete the project
AC Let me get this straight  you wont tell me what you want me to do until I accept your offer and be at my desk ready to work AND you wont tell me how much youre paying me until after Im done with the work
MC Hey youre a smart one
AC This is absolute insanity Good luck with your project Im outta here Oh and I hope your company goes bankrupt",0.9758,0.081,0.723,0.197,Positive,0.21,0.0,0.07,0.34,0.38,2021,Illini
"Been w Uber over yrs Ive never received a notirication from the driver app while its completely off Until today The app sends me two notifications to log into uber to go drive Then received the email asking me to recruit  new drivers  get paid 
",0.0,0.0,1.0,0.0,Neutral,0.0,0.0,0.4,0.0,0.6,2021,EM1
"Yesterday i did a oil change on the car Well i made a huge mess oil everywhere  
Lot of oil spilled on the plastic on the bottom of the car
Update  I did a lyft from the q Drop off pax in a big fancy house fresh white driveway 
Well the drive was up a big hill All the oil dripped out all over the driveway all the way up 
It was all over major mess  OMG what does a guy doo 
Drove off acted stupid  They did tip me in the app hours late  Wow i felt bad",-0.34,0.134,0.746,0.12,Negative,0.0,0.14,0.21,0.43,0.21,2021,kingcorey321
"My rider was pretty funny and tipped  cash up front She was friendly though and it made the ride a breeze Then she wanted to tip me  and I said No gas prices are too high now and you already gave me the money She said she did some weed with moly in it Something like that Told me about the time she did PCP I asked her if it gave her energy She said it made her slower and didnt like the feeling

The funny part was she put the wrong address in Then she asked me to grab my phone I said okay but I dont have the cash app Hahaha because she was probably trying to send herself money She scrolled through my apps so that was interesting Maybe she really was looking for Google Maps though Probably

She also said she saved up  from unemployment benefits I wonder if it wasnt from the cash app scam she tried pulling on me Does cash app open up when the phone is unlocked Doesnt it require the user to put the password I dont have it like I said so im curious So what does everyone think She was opening Google Maps or looking for the cash app She should have been more slick I guess Changed the debit card on the Lyft payout  D",0.9658,0.055,0.796,0.149,Positive,0.08,0.0,0.34,0.26,0.32,2021,June132017
"

I need help I got deactivated for refusing a rider who brought a dog She falsely accused me for service dog I asked what the dog is trained for She said emotional support Someone please help",0.7269,0.12,0.587,0.293,Positive,0.0,0.0,0.38,0.5,0.12,2021,Odin2020
"





Interesting Seems the people of that state being LEGALLY PROACTIVE made a difference
They simply filed an Injunction",0.8109,0.0,0.626,0.374,Positive,0.25,0.0,0.0,0.75,0.0,2021,Dig_dong_im_home64125
Entering rideshare business,0.0,0.0,1.0,0.0,Neutral,0.0,0.0,0.0,0.0,1.0,2021,Bojingles
Uber just approved my new insurance card in less than  minutes Usually this is a multiple submit process The picture I sent was kind of crappy I fully expected them to kick it out,-0.2058,0.108,0.806,0.086,Negative,0.43,0.0,0.14,0.14,0.29,2021,FLKeys
"I picked up an Uber Eats order from a discount restaurant

As Im about to arrive at the customers apartment a phone call comes in I figure its the customer who wants to give me special instructions to get to their place so I answer

Turns out its the restaurant manager He said he was not watching the front desk and his employee forgot to give me the drinks that went with the order

I tell him to refund the drinks and Im not coming back because I dont get paid to go back and deliver the drinks and besides its his employees responsibility to give me the correct order

He tells me its between the customer and Uber and its my responsibility to get the order right too I tell him not only was his employee rude but not to blame me for his employees mistake

He tells me to tell the customer that I forgot his drinks I tell him Im done talking to him to have a good night and hang up the phone At this point Im pretty irritated and basically had already raised my voice when he blamed me for the mistake

Yeah I know I could have checked for drinks but when an employee hands me an order Im going to assume its correct Every once in a while I do check orders for drinks and occassionally I do catch errors but Im not going to waste my time and check the accuracy of orders everytime especially if  of the time the orders are correct anyway which is my satisfaction rate after this order

What I didnt realize until I hung up is that the restaurant can actually give you negative feedback and when I checked my rating for deliveries sure enough the manager dinged me Apparently the customer dinged me tooabout  minutes after I checked my rating from the merchant my customer satisfaction rating had dropped from  to which I suspect happened when the customer called the restaurant and the manager blamed me for the mistake

Anyway I came really close for telling the manager to F Off so Im glad I kept my cool 

So if you ever find yourself of the situation first off dont be an idiot like me and answer your phone like I did and if you do answer the phone be careful what you say to the store manager Having said that you arent a store employee and if they try to blame you for their employee screwing up tell them to shove it because at the end of the day its on them and not you",0.9182,0.078,0.815,0.107,Positive,0.15,0.06,0.28,0.2,0.31,2021,Haanjo
Had an Uber Eats delivers last night said leave at door Start up the steps and see a glass door from top to bottom with blinds half up Set food down and snap a picture As I hit okay I catch the back ground Couple going at it right in the middle of the living room Glanced up and yeah they were going to town Dang close the blind if you re expecting a delivery Oh well they got dinner and I got a show,0.4767,0.046,0.858,0.095,Negative,0.14,0.14,0.21,0.07,0.43,2021,FLKeys
